성별,학력,나이,소득,로또기부예정,기부퍼센트,기부경험
0,3,41,2,20,15,1
0,3,42,3,20,10,1
0,3,40,5,60,10,1
0,3,,5,60,20,1
1,3,,4,20,5,1
0,3,42,4,20,5,1
1,4,,5,60,5,1
0,3,,4,40,10,1
0,2,,1,20,10,1
0,3,,4,50,15,1
1,4,,4,10,5,1
0,3,,1,10,5,1
0,4,,5,60,20,1
1,4,40,4,40,10,1
0,3,,5,30,10,1
0,3,,5,20,10,1
0,3,,5,20,10,1
0,3,,3,10,5,1
0,4,,5,60,10,1
0,2,,3,60,10,1
0,4,,5,60,10,1
1,3,,3,10,10,1
1,3,,5,10,5,1
0,2,,4,40,20,1
1,3,,4,20,10,1
1,3,,3,30,15,1
1,3,,2,30,10,1
1,3,,5,20,10,1
1,3,,4,60,20,1
1,4,,3,20,5,1
1,2,,3,10,5,1
1,3,,3,10,1,0
0,4,41,3,5,5,1
1,4,47,4,10,10,1
1,4,45,3,2,0,0
0,3,41,3,10,0,0
1,4,42,3,10,0,0
1,4,47,3,10,0,0
1,4,40,3,1,0,0
0,3,43,3,1,0,0
0,3,43,3,10,1,0
0,3,40,3,20,1,0
0,4,42,3,30,1,0
0,3,45,3,50,1,0
0,3,48,3,10,5,1
0,3,41,3,30,1,0
0,3,40,3,50,1,0
1,4,43,3,20,1,0
1,4,44,4,15,3,0
1,4,49,4,20,3,0
0,3,43,3,10,1,0
1,4,41,4,5,5,1
0,3,42,4,10,2,0
1,4,41,4,50,1,0
0,3,45,3,25,1,0
1,4,46,3,30,1,0
1,4,47,3,30,1,0
0,4,43,4,5,5,1
1,4,42,3,50,10,1
0,5,47,5,10,10,1
1,5,47,5,80,5,1
0,4,43,5,10,0,0
0,3,41,4,10,2,0
0,4,46,4,10,5,1
1,4,46,4,5,2,0
1,3,43,5,80,5,1
1,4,42,4,1,1,0
0,3,55,2,50,5,1
1,4,50,3,1,3,0
0,4,45,2,70,5,1
0,3,45,2,50,10,1
0,1,50,4,50,5,1
1,3,50,4,10,10,1
0,2,51,3,10,1,0
0,4,42,3,10,1,0
1,3,46,3,5,1,0
0,4,44,4,50,3,0
1,4,44,3,50,10,1
0,3,53,3,99,10,1
1,3,55,5,10,5,1
1,4,59,3,10,10,1
1,3,59,3,5,5,1
1,4,55,3,10,10,1
1,3,46,4,10,0,0
1,2,52,4,1,0,0
0,3,56,4,5,0,0
1,4,44,4,0,0,0
1,4,43,5,0,0,0
0,3,48,4,10,0,0
1,4,51,3,0,0,0
1,3,54,3,2,0,0
0,4,42,3,10,0,0
0,3,40,2,0,11,1
0,3,47,3,10,5,1
0,4,41,3,1,0,0
0,4,43,3,10,10,1
0,3,43,2,0,0,0
0,3,40,4,10,10,1
0,3,40,1,50,50,1
1,4,45,2,30,20,1
0,3,47,3,50,0,0
1,1,41,4,9,3,0
0,4,42,3,20,5,1
1,3,42,3,20,5,1
0,3,43,3,50,0,0
0,3,40,3,30,0,0
0,4,43,3,50,0,0
0,3,42,3,70,0,0
