year,quarter,소비,GDP,lag소비
1992,1,51.94558,57.24082,49.4474
1992,2,53.5309,59.75548,51.94558
1992,3,56.26734,62.08275,53.5309
1992,4,58.29128,64.02681,56.26734
1993,1,59.67366,66.7226,58.29128
1993,2,61.53727,69.12569,59.67366
1993,3,64.88865,71.91221,61.53727
1993,4,67.58627,76.67205,64.88865
1994,1,66.96073,75.86118,67.58627
1994,2,68.48859,77.2798,66.96073
1994,3,72.16294,80.03994,68.48859
1994,4,75.36605,82.68715,72.16294
1995,1,78.46261,86.72117,75.36605
1995,2,80.19066,88.51056,78.46261
1995,3,80.02772,88.58661,80.19066
1995,4,80.97675,89.96195,80.02772
