ID,sat,gender,area,age,己喊dum,瘤开dum_1,瘤开dum_2,瘤开dum_3
1,1.5,1,1,38,,1,0,0
2,3,2,2,32,,0,1,0
3,2,2,3,28,,0,0,1
4,2,1,1,28,,1,0,0
5,1.5,1,1,35,,1,0,0
6,2,1,1,39,,1,0,0
7,1.5,1,3,32,,0,0,1
9,1.25,2,3,31,,0,0,1
10,2.25,1,2,26,,0,1,0
11,2,1,1,27,,1,0,0
12,2.75,1,3,52,,0,0,1
15,1.75,1,1,38,,1,0,0
16,1.75,1,1,31,,1,0,0
17,2.75,1,2,24,,0,1,0
18,1.25,1,3,31,,0,0,1
19,2.75,1,2,25,,0,1,0
20,1.75,2,2,30,,0,1,0
21,2,1,1,37,,1,0,0
22,2.5,2,2,37,,0,1,0
23,2.5,1,2,34,,0,1,0
24,1,1,1,28,,1,0,0
26,2.5,1,1,31,,1,0,0
27,1.75,1,2,35,,0,1,0
29,2.25,2,1,41,,1,0,0
