cpi,m2
98.3,24864.5
99,24854.3
99.1,24825.7
99.2,25017.3
99.9,25262.1
99.9,25606.4
100,26030.7
100.2,26256.6
101.3,26824.8
101.6,27189.3
100.4,27422.6
101.1,28029
101.9,28143.3
102.5,28272.9
102.7,28837.9
102.6,29159.5
103.2,29601.2
103,30195.4
103.1,30674.7
103,30975.3
103.6,31973
102.6,31983.6
102.4,32361.9
102.4,32908.2
102.8,33760.2
103,33555.4
103.8,33954
104.4,34070.8
106,34767.6
105.9,35429.3
105.6,36233.6
107.1,36502.8
107.8,37658.5
107.9,38521.8
107.7,38719.5
108.6,40261.3
109.2,40498.7
111,40017.8
112.6,40430
112.4,40393
113,41037.3
113.7,41945.9
113.9,43171.3
114.5,43670.7
114.8,44658.2
114.5,45291.9
115.4,45880.4
116.4,47720.7
116.6,48649.6
117,47660.9
117.8,47714.7
118.3,48413
119.8,48462.7
120,49781
119.9,50334.2
120.8,51070
121.9,53400.7
122.2,53228.8
122.4,53897.1
122.3,56904.5
123.5,59596.1
124.6,59293
126.2,59001.2
128.1,59530.8
130.5,59581.8
131.3,60316.8
131.9,61030.7
132.3,61649.9
133.3,63158.9
133.6,64265.3
133.4,64199.2
133.8,67289.5
136.6,69685.3
138.5,70475.4
140.3,70421.8
141,70235.7
141.8,71108.5
142.5,71222.9
143.1,72473.4
144.9,72603
145.7,75023.6
145.9,76267.4
146.5,77186.6
146.5,79584.3
147.1,82360.7
148,82928.5
149.6,83587.3
150.5,83518
151.4,84120.7
151.6,84345.9
152.3,85906.5
152.6,86109.1
153.1,88589.2
152.9,90082.3
152.2,92000.8
152.6,94351.5
153.7,96780.4
154.8,96106.3
156.7,97559.5
157.6,98470.1
158.2,99756.3
158.9,100266.7
158.8,102164.2
159.3,103849.9
160.1,107609.3
160.8,108775.9
160.5,108904.7
161.4,110699.8
